PassengerId,Age
1,22
2,38
3,26
4,35
5,35
6,
7,54
8,2
9,27
10,14
11,4
12,58
13,20
14,39
15,14
16,55
17,2
18,
19,31
20,
21,35
22,34
23,15
24,28
25,8
26,38
27,
28,19
29,
30,
31,40
32,
33,
34,66
35,28
36,42
37,
38,21
39,18
40,14
41,40
42,27
43,
44,3
45,19
46,
47,
48,
49,
50,18
51,7
52,21
53,49
54,29
55,65
56,
57,21
58,28.5
59,5
60,11
61,22
62,38
63,45
64,4
65,
66,
67,29
68,19
69,17
70,26
71,32
72,16
73,21
74,26
75,32
76,25
77,
78,
79,0.83
80,30
81,22
82,29
83,
84,28
85,17
86,33
87,16
88,
89,23
90,24
91,29
92,20
93,46
94,26
95,59
96,
97,71
98,23
99,34
100,34
101,28
102,
103,21
104,33
105,37
106,28
107,21
108,
109,38
110,
111,47
112,14.5
113,22
114,20
115,17
116,21
117,70.5
118,29
119,24
120,2
121,21
122,
123,32.5
124,32.5
125,54
126,12
127,
128,24
129,
130,45
131,33
132,20
133,47
134,29
135,25
136,23
137,19
138,37
139,16
140,24
141,
142,22
143,24
144,19
145,18
146,19
147,27
148,9
149,36.5
150,42
151,51
152,22
153,55.5
154,40.5
155,
156,51
157,16
158,30
159,
160,
161,44
162,40
163,26
164,17
165,1
166,9
167,
168,45
169,
170,28
171,61
172,4
173,1
174,21
175,56
176,18
177,
178,50
179,30
180,36
181,
182,
183,9
184,1
185,4
186,
187,
188,45
189,40
190,36
191,32
192,19
193,19
194,3
195,44
196,58
197,
198,42
199,
200,24
201,28
202,
203,34
204,45.5
205,18
206,2
207,32
208,26
209,16
210,40
211,24
212,35
213,22
214,30
215,
216,31
217,27
218,42
219,32
220,30
221,16
222,27
223,51
224,
225,38
226,22
227,19
228,20.5
229,18
230,
231,35
232,29
233,59
234,5
235,24
236,
237,44
238,8
239,19
240,33
241,
242,
243,29
244,22
245,30
246,44
247,25
248,24
249,37
250,54
251,
252,29
253,62
254,30
255,41
256,29
257,
258,30
259,35
260,50
261,
262,3
263,52
264,40
265,
266,36
267,16
268,25
269,58
270,35
271,
272,25
273,41
274,37
275,
276,63
277,45
278,
279,7
280,35
281,65
282,28
283,16
284,19
285,
286,33
287,30
288,22
289,42
290,22
291,26
292,19
293,36
294,24
295,24
296,
297,23.5
