Suburb,Rooms,Type,Price,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount
Abbotsford,2,h,1480000,S,2.5,2,1,1,202,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1035000,S,2.5,2,1,0,156,79,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1465000,SP,2.5,3,2,0,134,150,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,850000,PI,2.5,3,2,1,94,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1600000,VB,2.5,3,1,2,120,142,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,941000,S,2.5,2,1,0,181,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1876000,S,2.5,4,2,0,245,210,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1636000,S,2.5,2,1,2,256,107,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1000000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,t,745000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,300000,S,2.5,1,1,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1097000,S,2.5,3,1,2,220,75,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,542000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,760000,SP,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,481000,SP,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,700000,VB,2.5,2,2,1,0,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,3,h,1350000,VB,2.5,3,2,2,214,190,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,u,750000,S,2.5,2,2,1,0,94,Yarra City Council,Northern Metropolitan,4019
Abbotsford,4,h,1985000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,1,u,500000,S,2.5,,,,,,Yarra City Council,Northern Metropolitan,4019
Abbotsford,2,h,1172500,S,2.5,2,1,1,195,,Yarra City Council,Northern Metropolitan,4019
